Timestamp,Temperature(degree celcius),Humidity,MQ-135 raw value,Light State,Air quality,Gas Anomaly,Occupancy Status
7/19/2026 14:24:51,31.8,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:25:00,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:25:11,31.8,82,381,0,Moderate,0,PossiblyOccupied
7/19/2026 14:25:20,31.8,82,380,0,Moderate,0,PossiblyOccupied
7/19/2026 14:25:31,31.8,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:25:40,31.8,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:25:51,31.8,82,379,0,Moderate,0,PossiblyOccupied
7/19/2026 14:26:04,31.8,82,379,0,Moderate,0,PossiblyOccupied
7/19/2026 14:26:11,31.8,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:26:21,31.8,82,379,0,Moderate,0,PossiblyOccupied
7/19/2026 14:26:30,31.8,82,374,0,Moderate,0,PossiblyOccupied
7/19/2026 14:26:41,31.8,82,378,0,Moderate,0,PossiblyOccupied
7/19/2026 14:26:51,31.8,82,378,0,Moderate,0,PossiblyOccupied
7/19/2026 14:27:01,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:27:11,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:27:21,31.8,82,378,0,Moderate,0,PossiblyOccupied
7/19/2026 14:27:31,31.8,82,378,0,Moderate,0,PossiblyOccupied
7/19/2026 14:27:41,31.8,82,374,0,Moderate,0,PossiblyOccupied
7/19/2026 14:27:51,31.8,82,378,0,Moderate,0,PossiblyOccupied
7/19/2026 14:28:01,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:28:11,31.8,82,374,0,Moderate,0,PossiblyOccupied
7/19/2026 14:28:21,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:28:31,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:28:41,31.8,82,372,0,Moderate,0,PossiblyOccupied
7/19/2026 14:28:51,31.6,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:29:01,31.4,82,376,0,Moderate,0,PossiblyOccupied
7/19/2026 14:29:11,31.4,82,376,0,Moderate,0,PossiblyOccupied
7/19/2026 14:29:21,31.3,82,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:29:31,31.3,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:29:41,31.3,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:29:51,31.3,82,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:30:01,31.3,81,376,0,Moderate,0,PossiblyOccupied
7/19/2026 14:30:14,31.8,82,377,0,Moderate,0,PossiblyOccupied
7/19/2026 14:30:31,31.8,81,369,0,Moderate,0,PossiblyOccupied
7/19/2026 14:30:43,31.8,81,376,0,Moderate,0,PossiblyOccupied
7/19/2026 14:30:51,31.8,81,376,0,Moderate,0,PossiblyOccupied
7/19/2026 14:31:03,31.8,80,369,0,Moderate,0,PossiblyOccupied
7/19/2026 14:31:11,31.8,80,369,0,Moderate,0,PossiblyOccupied
7/19/2026 14:31:22,31.8,80,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:31:31,31.8,80,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:31:41,31.8,80,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:31:51,31.8,80,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:32:01,31.8,80,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:32:11,31.8,81,375,0,Moderate,0,PossiblyOccupied
7/19/2026 14:32:21,31.3,81,373,0,Moderate,0,PossiblyOccupied
7/19/2026 14:32:31,31.3,81,365,0,Moderate,0,PossiblyOccupied
7/19/2026 14:32:41,31.3,81,369,0,Moderate,0,PossiblyOccupied
7/19/2026 14:32:51,31.3,81,373,0,Moderate,0,PossiblyOccupied
7/19/2026 14:33:01,31.3,82,373,0,Moderate,0,PossiblyOccupied
7/19/2026 14:33:11,31.4,81,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:33:21,31.8,81,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:33:31,31.8,81,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:33:41,31.8,81,374,0,Moderate,0,PossiblyOccupied
7/19/2026 14:33:51,31.8,81,374,0,Moderate,0,PossiblyOccupied
7/19/2026 14:34:01,31.8,81,374,0,Moderate,0,PossiblyOccupied
7/19/2026 14:34:11,31.8,81,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:34:21,31.8,81,373,0,Moderate,0,PossiblyOccupied
7/19/2026 14:34:31,31.8,81,364,0,Moderate,0,PossiblyOccupied
7/19/2026 14:34:41,31.8,81,369,0,Moderate,0,PossiblyOccupied
7/19/2026 14:34:51,31.8,81,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:35:01,31.8,81,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:35:11,31.8,81,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:35:21,31.8,81,364,0,Moderate,0,PossiblyOccupied
7/19/2026 14:35:31,31.8,81,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:35:42,31.8,81,368,0,Moderate,0,PossiblyOccupied
7/19/2026 14:35:51,31.4,81,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:36:01,31.3,81,367,0,Moderate,0,PossiblyOccupied
7/19/2026 14:36:11,31.3,81,363,0,Moderate,0,PossiblyOccupied
7/19/2026 14:36:21,31.3,81,364,0,Moderate,0,PossiblyOccupied
7/19/2026 23:31:10,30.8,91,866,1,Poor,1,Unoccupied
7/19/2026 23:31:32,30.8,90,866,1,Poor,1,Unoccupied
7/19/2026 23:31:53,30.8,90,861,1,Poor,1,Unoccupied
7/19/2026 23:32:17,30.8,90,862,1,Poor,1,Unoccupied
